codigo_ibge,municipio,estado,mesorregiao,microrregiao,populacao_censo_2022,populacao_estimada_ultimo_ano,ano_estimativa,sexo_masculino,sexo_feminino,sexo_total,faixa_0_14,faixa_15_59,faixa_60_mais,faixa_total,cor_branca,cor_preta,cor_parda,cor_amarela,cor_indigena,cor_total,taxa_alfabetizacao_15_mais,taxa_analfabetismo_15_mais,pop_urbana,pop_rural,taxa_urbana,taxa_rural,renda_per_capita,pct_vulneraveis_pobreza,ano_renda_vulnerabilidade
2200053,Acauã,PI,Sudeste Piauiense,Alto Médio Canindé,6420,6323,2025,3276,3144,6420,1281,4137,1002,6420,4314,616,1486,1,3,6420,83.11,16.89,1535,4885,23.91,76.09,199.35,73.12,2010
2200103,Agricolândia,PI,Centro-Norte Piauiense,Médio Parnaíba Piauiense,4940,5016,2025,2384,2556,4940,984,2959,997,4940,777,594,3549,2,16,4940,78.97,21.03,4011,929,81.19,18.81,245.68,65.81,2010
2200202,Água Branca,PI,Centro-Norte Piauiense,Médio Parnaíba Piauiense,17573,18095,2025,8402,9171,17573,3850,10956,2767,17573,3937,2193,11419,10,14,17573,84.94,15.06,15667,1906,89.15,10.85,335.63,56.11,2010
2200251,Alagoinha do Piauí,PI,Sudeste Piauiense,Pio IX,6819,6876,2025,3428,3391,6819,1199,4368,1252,6819,2613,595,3609,2,,6819,66.39,33.61,3820,2999,56.02,43.98,222.87,69.96,2010
2200277,Alegrete do Piauí,PI,Sudeste Piauiense,Pio IX,4634,4707,2025,2306,2328,4634,961,2927,746,4634,1212,273,3148,,1,4634,70.79,29.21,3038,1596,65.56,34.44,268.12,63.35,2010
2200301,Alto Longá,PI,Centro-Norte Piauiense,Campo Maior,13479,13729,2025,6808,6671,13479,2511,8326,2642,13479,2637,1587,9241,12,2,13479,71.75,28.25,6724,6755,49.89,50.11,272.28,69.67,2010
2200400,Altos,PI,Centro-Norte Piauiense,Teresina,47453,50094,2025,23674,23779,47453,10174,30445,6834,47453,7655,4854,34905,2,37,47453,83.02,16.98,34201,13252,72.07,27.93,314.48,63.75,2010
2200459,Alvorada do Gurguéia,PI,Sudoeste Piauiense,Alto Médio Gurguéia,5322,5474,2025,2729,2593,5322,1260,3303,759,5322,715,652,3950,,5,5322,82.52,17.48,2106,3216,39.57,60.43,203.23,78.11,2010
2200509,Amarante,PI,Centro-Norte Piauiense,Médio Parnaíba Piauiense,17234,17594,2025,8446,8788,17234,4130,10092,3012,17234,1906,5348,9951,11,17,17234,77.91,22.09,9187,8047,53.31,46.69,284.71,61.45,2010
2200608,Angical do Piauí,PI,Centro-Norte Piauiense,Médio Parnaíba Piauiense,6827,6991,2025,3365,3462,6827,1295,4136,1396,6827,1253,1369,4204,,1,6827,81.85,18.15,5336,1491,78.16,21.84,356.17,61.96,2010
2200707,Anísio de Abreu,PI,Sudoeste Piauiense,São Raimundo Nonato,9407,9649,2025,4776,4631,9407,2142,5921,1344,9407,2226,1243,5920,5,13,9407,77.16,22.84,4765,4642,50.65,49.35,221.91,67.6,2010
2200806,Antônio Almeida,PI,Sudoeste Piauiense,Bertolínia,3152,3234,2025,1597,1555,3152,721,1861,570,3152,425,573,2122,24,8,3152,83.05,16.95,2520,632,79.95,20.05,293.53,63.33,2010
2200905,Aroazes,PI,Centro-Norte Piauiense,Valença do Piauí,5369,5413,2025,2630,2739,5369,973,3285,1111,5369,779,998,3592,,,5369,75.91,24.09,3480,1889,64.82,35.18,265.91,64.66,2010
2200954,Aroeiras do Itaim,PI,Sudeste Piauiense,Picos,2690,2777,2025,1392,1298,2690,426,1712,552,2690,625,173,1890,1,1,2690,65.37,34.63,361,2329,13.42,86.58,182.29,77.84,2010
