territorio,municipio,codigo_ibge,populacao_censo_2022,populacao_estimada,ano_estimativa
"Planície Litorânea","Bom Princípio do Piauí","2201919","5636","5805","2025"
"Planície Litorânea","Buriti dos Lopes","2202000","19654","20130","2025"
"Planície Litorânea","Cajueiro da Praia","2202083","7957","8246","2025"
"Planície Litorânea","Caraúbas do Piauí","2202539","5630","5581","2025"
"Planície Litorânea","Caxingó","2202653","5496","5682","2025"
"Planície Litorânea","Cocal","2202703","28212","29302","2025"
"Planície Litorânea","Cocal dos Alves","2202729","6386","6596","2025"
"Planície Litorânea","Ilha Grande","2204659","9274","9522","2025"
"Planície Litorânea","Luís Correia","2205706","30641","31901","2025"
"Planície Litorânea","Murici dos Portelas","2206696","9797","10210","2025"
"Planície Litorânea","Parnaíba","2207702","162159","170491","2025"
"Cocais","Batalha","2201507","26300","27129","2025"
"Cocais","Barras","2201200","47938","49703","2025"
"Cocais","Brasileira","2201960","8436","8684","2025"
"Cocais","Campo Largo do Piauí","2202174","7419","7669","2025"
"Cocais","Domingos Mourão","2203420","4075","4129","2025"
"Cocais","Esperantina","2203701","40970","42710","2025"
"Cocais","Joaquim Pires","2205409","13886","14265","2025"
"Cocais","Joca Marques","2205458","5394","5552","2025"
"Cocais","Lagoa de São Francisco","2205573","6331","6446","2025"
"Cocais","Luzilândia","2205805","25375","26143","2025"
"Cocais","Madeiro","2205854","8032","8231","2025"
"Cocais","Matias Olímpio","2206100","10641","10886","2025"
"Cocais","Milton Brandão","2206357","6542","6681","2025"
"Cocais","Morro do Chapéu do Piauí","2206670","6425","6548","2025"
"Cocais","Nossa Senhora dos Remédios","2206803","8525","8751","2025"
"Cocais","Pedro II","2207900","37894","39072","2025"
"Cocais","Piracuruca","2208304","28846","29721","2025"
"Cocais","Piripiri","2208403","65538","67887","2025"
"Cocais","Porto","2208502","12052","12323","2025"
"Cocais","São João da Fronteira","2209872","5522","5608","2025"
"Cocais","São João do Arraial","2209971","8186","8494","2025"
"Cocais","São José do Divino","2210052","4841","5317","2025"
"Carnaubais","Assunção do Piauí","2201051","7452","7596","2025"
"Carnaubais","Boa Hora","2201770","6902","7140","2025"
"Carnaubais","Boqueirão do Piauí","2201945","6545","6751","2025"
"Carnaubais","Buriti dos Montes","2202026","7434","7517","2025"
"Carnaubais","Cabeceiras do Piauí","2202059","10212","10466","2025"
"Carnaubais","Campo Maior","2202208","45793","47119","2025"
"Carnaubais","Capitão de Campos","2202406","11100","11362","2025"
