Mês/Ano;UF;Município;Zona;Quantidade;%
Junho - 2013;PI;ACAUÃ;38;5.184;0,221
Junho - 2013;PI;AGRICOLÂNDIA;30;4.726;0,201
Junho - 2013;PI;ÁGUA BRANCA;52;12.670;0,540
Junho - 2013;PI;ALAGOINHA DO PIAUÍ;29;6.106;0,260
Junho - 2013;PI;ALEGRETE DO PIAUÍ;40;4.200;0,179
Junho - 2013;PI;ALTO LONGÁ;42;11.516;0,491
Junho - 2013;PI;ALTOS;32;29.863;1,273
Junho - 2013;PI;ALVORADA DO GURGUÉIA;59;3.838;0,164
Junho - 2013;PI;AMARANTE;8;14.237;0,607
Junho - 2013;PI;ANGICAL DO PIAUÍ;84;6.678;0,285
Junho - 2013;PI;ANÍSIO DE ABREU;95;6.324;0,270
Junho - 2013;PI;ANTÔNIO ALMEIDA;78;2.937;0,125
Junho - 2013;PI;AROAZES;92;5.281;0,225
Junho - 2013;PI;AROEIRAS DO ITAIM;10;3.040;0,130
Junho - 2013;PI;ARRAIAL;77;4.058;0,173
Junho - 2013;PI;ASSUNÇÃO DO PIAUÍ;39;6.028;0,257
Junho - 2013;PI;AVELINO LOPES;88;8.359;0,356
Junho - 2013;PI;BAIXA GRANDE DO RIBEIRO;44;7.516;0,320
Junho - 2013;PI;BARRA D'ALCÂNTARA;82;3.107;0,132
Junho - 2013;PI;BARRAS;6;32.836;1,400
Junho - 2013;PI;BARREIRAS DO PIAUÍ;35;3.154;0,134
Junho - 2013;PI;BARRO DURO;52;5.970;0,254
Junho - 2013;PI;BATALHA;45;21.134;0,901
Junho - 2013;PI;BELA VISTA DO PIAUÍ;37;2.816;0,120
Junho - 2013;PI;BELÉM DO PIAUÍ;68;2.590;0,110
Junho - 2013;PI;BENEDITINOS;47;8.666;0,369
Junho - 2013;PI;BERTOLÍNIA;28;4.092;0,174
Junho - 2013;PI;BETÂNIA DO PIAUÍ;38;4.971;0,212
Junho - 2013;PI;BOA HORA;6;5.563;0,237
Junho - 2013;PI;BOCAINA;93;5.160;0,220
Junho - 2013;PI;BOM JESUS;15;14.551;0,620
Junho - 2013;PI;BOM PRINCÍPIO DO PIAUÍ;33;5.562;0,237
Junho - 2013;PI;BONFIM DO PIAUÍ;95;4.422;0,188
Junho - 2013;PI;BOQUEIRÃO DO PIAUÍ;71;4.921;0,210
Junho - 2013;PI;BRASILEIRA;11;6.803;0,290
Junho - 2013;PI;BREJO DO PIAUÍ;36;3.554;0,151
Junho - 2013;PI;BURITI DOS LOPES;33;15.308;0,653
Junho - 2013;PI;BURITI DOS MONTES;34;5.815;0,248
Junho - 2013;PI;CABECEIRAS DO PIAUÍ;6;8.487;0,362
Junho - 2013;PI;CAJAZEIRAS DO PIAUÍ;5;2.752;0,117
Junho - 2013;PI;CAJUEIRO DA PRAIA;91;5.906;0,252
Junho - 2013;PI;CALDEIRÃO GRANDE DO PIAUÍ;40;4.208;0,179
Junho - 2013;PI;CAMPINAS DO PIAUÍ;81;4.662;0,199
Junho - 2013;PI;CAMPO ALEGRE DO FIDALGO;20;4.244;0,181
Junho - 2013;PI;CAMPO GRANDE DO PIAUÍ;19;4.601;0,196
Junho - 2013;PI;CAMPO LARGO DO PIAUÍ;49;4.334;0,185
Junho - 2013;PI;CAMPO MAIOR;7;18.001;0,767
Junho - 2013;PI;CAMPO MAIOR;96;16.914;0,721
Junho - 2013;PI;CANAVIEIRA;25;3.348;0,143
Junho - 2013;PI;CANTO DO BURITI;36;15.282;0,651
Junho - 2013;PI;CAPITÃO DE CAMPOS;71;8.926;0,380
Junho - 2013;PI;CAPITÃO GERVÁSIO OLIVEIRA;20;3.257;0,139
Junho - 2013;PI;CARACOL;79;7.608;0,324
